영화명,제작연도,장르
눈먼자들의 도시,2008,"드라마,멜로/로맨스,스릴러,미스터리"
맥스 페인,2008,"범죄,스릴러,액션"
와인 미라클,2008,"코미디,드라마"
촉루성의 7인-레드버전,2008,"액션,사극"
007 퀀텀 오브 솔러스,2008,"액션,어드벤처"
쿵푸 덩크,2008,"코미디,액션"
플라이 미 투 더 문,2008,"애니메이션,어드벤처,가족,SF"
마이 쎄시 걸,2008,"멜로/로맨스,코미디"
밴티지 포인트,2008,"스릴러,드라마,액션"
"10,000 BC",2008,"어드벤처,드라마"
스텝업 2 : 더 스트리트,2008,"멜로/로맨스,드라마"
바디 오브 라이즈,2008,"스릴러,액션"
공작부인:세기의 스캔들,2008,"사극,멜로/로맨스"
이글 아이,2008,"액션,스릴러,미스터리"
내 친구의 사생활,2008,"멜로/로맨스,코미디"
남주기 아까운 그녀,2008,"코미디,멜로/로맨스"
미스 페티그루의 어느 특별한 하루,2008,"멜로/로맨스,코미디"
헬보이 2 : 골든 아미,2008,"SF,액션,어드벤처"
황시,2008,"전쟁,드라마"
나오코,2008,"멜로/로맨스,드라마"
미러,2008,"공포(호러),스릴러"
스타워즈 : 클론 전쟁,2008,"애니메이션,액션,어드벤처,SF"
썸머 솔스티스,2008,"공포(호러),드라마,스릴러"
CJ7:장강7호,2008,"SF,코미디,판타지"
스마트 피플,2008,"코미디,멜로/로맨스"
레드벨트,2008,"액션,드라마"
슈퍼히어로,2008,"SF,액션,코미디"
엑스파일:나는 믿고싶다,2008,"SF,미스터리,어드벤처"
케로로 더 무비:케로로 VS 케로로 천공대결전,2008,"애니메이션,코미디,어드벤처,SF"
미이라 3:황제의 무덤,2008,"액션,어드벤처,판타지"
소림소녀,2008,"액션,코미디"
님스 아일랜드,2008,"코미디,어드벤처,가족"
적벽대전:거대한 전쟁의 시작,2008,"액션,드라마,전쟁"
핸콕,2008,"액션,드라마,코미디"
원티드,2008,"스릴러,액션"
둠스데이:지구 최후의 날,2008,"SF,액션"
21,2008,"범죄,드라마"
인크레더블 헐크,2008,"액션,판타지,SF"
해프닝,2008,"SF,드라마,미스터리"
디 아이,2008,"공포(호러),드라마,스릴러"
라스베가스에서만 생길 수 있는 일,2008,"멜로/로맨스,코미디"
인디아나 존스 4 : 크리스탈 해골의 왕국,2008,"액션,어드벤처"
나니아 연대기:캐스피언 왕자,2008,"어드벤처,가족,판타지"
스피드 레이서,2008,"액션,가족"
호튼,2008,"애니메이션,어드벤처,가족"
패솔로지,2008,"공포(호러),스릴러,범죄"
킬위드미,2008,"범죄,스릴러"
스트리트 킹,2008,"범죄,드라마,스릴러"
연의 황후,2008,"사극,드라마,액션,멜로/로맨스,판타지"
천일의 스캔들,2008,"사극,멜로/로맨스"
27번의 결혼리허설,2008,"멜로/로맨스,코미디"
사랑보다 황금,2008,"멜로/로맨스,어드벤처,코미디"
점퍼,2008,"SF,드라마,어드벤처"
클로버필드,2008,"SF,스릴러,액션"
미안하다 독도야,2008,다큐멘터리
4요일: 자살을 부르는 요일,2008,"공포(호러),스릴러"
1724 기방난동사건,2008,"사극,액션,코미디"
맨데이트: 신이 주신 임무,2008,"스릴러,액션,판타지"
사랑과 전쟁:열두 번째 남자,2008,드라마
쉿! 그녀에겐 비밀이에요,2008,"드라마,멜로/로맨스,코미디"
흑심모녀,2008,"가족,멜로/로맨스,코미디,판타지"
날나리 종부전,2008,코미디
서울이 보이냐,2008,"가족,드라마"
에반게리온 신극장판: 파,2009,애니메이션
코렐라인,2009,"애니메이션,가족,판타지,어드벤처,드라마"
마더,2009,드라마
포스 카인드,2009,"SF,미스터리,스릴러"
셔터 아일랜드,2009,"드라마,미스터리,스릴러"
국가대표,2009,"드라마,액션,코미디"
스위트 카르마,2009,"범죄,드라마,스릴러"
더 피플 아이브 슬렙 위드,2009,"코미디,드라마"
위험한 유혹,2009,멜로/로맨스
금병매 감독판,2009,멜로/로맨스
돌멩이의 꿈,2009,드라마
아톰 새로운 시작,2009,애니메이션
해리 포터와 혼혈 왕자,2009,"어드벤처,액션,가족"
포켓 몬스터 DP: 아르세우스 초극의 시공으로,2009,"애니메이션,어드벤처,판타지,액션"
바람의 소리,2009,"범죄,스릴러,드라마,전쟁"
바스터즈: 거친 녀석들,2009,"액션,드라마,전쟁"
전우치,2009,"액션,코미디,판타지"
테라 3D: 인류 최후의 전쟁,2009,"애니메이션,어드벤처,판타지,액션"
하모니,2009,드라마
하얀 나비,2009,드라마
8인: 최후의 결사단,2009,"액션,사극"
청담보살,2009,"멜로/로맨스,코미디"
의형제,2009,"드라마,액션"
호우시절,2009,멜로/로맨스
죽이러 갑니다,2009,"코미디,스릴러"
판타스틱 Mr. 폭스,2009,"애니메이션,코미디,어드벤처,가족"
뮬란: 전사의 귀환,2009,"액션,드라마"
극장판 천원돌파 그렌라간 : 나암편,2009,애니메이션
줄리 & 줄리아,2009,드라마
아바타 3D 스페셜에디션,2009,"SF,액션"
하치 이야기,2009,"드라마,가족"
마린보이,2009,"액션,스릴러,범죄"
해운대,2009,"액션,드라마,어드벤처"
불신지옥,2009,"미스터리,공포(호러)"
작전,2009,"범죄,드라마,스릴러"
지.아이.조 : 전쟁의 서막,2009,액션
주유소 습격사건 2,2009,"액션,코미디"
평행이론,2009,"스릴러,액션,드라마,미스터리"
된장,2009,"미스터리,드라마"
내 눈에 콩깍지,2009,"멜로/로맨스,코미디"
굿모닝 프레지던트,2009,"코미디,드라마"
백야행,2009,"멜로/로맨스,미스터리,범죄,스릴러"
시크릿,2009,"스릴러,드라마,미스터리"
불꽃처럼 나비처럼,2009,"멜로/로맨스,사극"
인사동 스캔들,2009,"드라마,범죄,액션"
그림자 살인,2009,"미스터리,스릴러,사극,범죄"
내 사랑 내 곁에,2009,"드라마,멜로/로맨스"
인사이드 링: 항공기를 훔쳐라,2009,"스릴러,범죄,드라마"
거북이 달린다,2009,"드라마,액션,범죄"
극장판 울트라맨 우주 몬스터 대결전,2009,"액션,SF"
익스트림 터미네이터 TR,2009,"액션,SF"
우주전쟁 : 화성을 지켜라,2009,"SF,스릴러,전쟁"
키친,2009,멜로/로맨스
킹콩을 들다,2009,드라마
비상,2009,"액션,드라마,멜로/로맨스"
애자,2009,"드라마,코미디"
용서는 없다,2009,"범죄,스릴러"
낮에는 숙녀 밤에는 요부,2009,멜로/로맨스
10억,2009,"스릴러,어드벤처"
여고괴담 5,2009,"공포(호러),스릴러"
식객2 : 김치전쟁,2009,드라마
펜트하우스 코끼리,2009,"드라마,멜로/로맨스"
정승필 실종사건,2009,코미디
바람,2009,"드라마,액션"
잃어버린 세계를 찾아 2015,2009,"어드벤처,판타지"
드래곤 레저렉션,2009,"액션,어드벤처,판타지"
홍길동의 후예,2009,"액션,코미디,드라마"
비밀애,2009,멜로/로맨스
팬도럼,2009,"액션,공포(호러),SF,스릴러"
구르믈 버서난 달처럼,2009,"사극,액션"
실종자,2009,스릴러
작전명: 베른하르트,2009,"전쟁,액션"
소피의 연애 매뉴얼,2009,"멜로/로맨스,코미디"
하늘과 바다,2009,드라마
폭풍전야,2009,"드라마,멜로/로맨스"
아이스 토네이도,2009,SF
마법의 히드라,2009,"공포(호러),SF"
피의 복수,2009,"액션,범죄,스릴러"
사이에서,2009,드라마
요가학원,2009,공포(호러)
골든 슬럼버,2009,스릴러
익스트림 피어,2009,"공포(호러),SF,스릴러"
스페이스 둠스데이,2009,"판타지,SF"
브룩클린스 파이니스트,2009,"액션,드라마,범죄,스릴러"
코비: 블루 엘리펀트의 전설,2009,애니메이션
스타 트렉: 더 비기닝,2009,"SF,액션,어드벤처"
박물관을 털어라,2009,"코미디,액션,범죄"
끝과 시작,2009,"멜로/로맨스,드라마"
퍼블릭 에너미,2009,"범죄,액션"
파이어 : 테러와의 전쟁,2009,액션
램페이지 : 더 테러리스트,2009,"액션,스릴러,범죄,드라마"
라라피포,2009,코미디
페인트볼,2009,드라마
엘로이즈: 그녀들의 사랑,2009,드라마
명탐정 코난 : 칠흑의 추적자,2009,"애니메이션,미스터리,범죄"
드림업,2009,"드라마,코미디"
크로싱 오버,2009,드라마
페이퍼맨,2009,"코미디,드라마"
스테이트 오브 플레이,2009,"드라마,범죄,스릴러"
존 라베 : 난징 대학살,2009,"전쟁,드라마"
더 도어,2009,"드라마,미스터리,SF,스릴러"
스워드 오브 워,2009,"드라마,전쟁"
플래닛 51,2009,"애니메이션,코미디,어드벤처,가족"
레인 폴,2009,"스릴러,액션"
나인 마일즈 다운,2009,"미스터리,스릴러"
뉴타입 히어로 얏타맨,2009,애니메이션
지알로,2009,"드라마,공포(호러)"
키롯,2009,"액션,드라마,스릴러"
사랑의 여왕,2009,"코미디,드라마,멜로/로맨스"
세크레이드,2009,공포(호러)
백은제국,2009,"액션,드라마"
하이 라이프,2009,"코미디,범죄"
최민수의 어쌔씬 코드,2009,액션
수호지-신비술사,2009,액션
포비든 리얼리티,2009,"SF,판타지,액션"
러브 인 샌프란시스코,2009,"드라마,멜로/로맨스"
수호지-의적유당,2009,액션
앤드 오브 워,2009,"미스터리,드라마,전쟁"
수호지-무사조씨,2009,액션
수호지-불사영웅 석수,2009,액션
스트릿 오브 블러드,2009,"범죄,스릴러,액션"
카르고,2009,"미스터리,스릴러"
어밴던드,2009,"공포(호러),미스터리,스릴러"
가필드 펫 포스 3D,2009,"애니메이션,코미디,가족"
수상한 가족,2009,"코미디,드라마"
일렉트릭 미스트,2009,"미스터리,드라마"
인 디 에어,2009,"드라마,코미디,멜로/로맨스"
H2: 어느 살인마의 가족이야기,2009,"공포(호러),스릴러"
커플 테라피: 대화가 필요해,2009,코미디
헤이트 발렌타인데이,2009,"멜로/로맨스,코미디"
위핏,2009,"드라마,코미디"
그린 존,2009,"드라마,전쟁,액션"
공자 춘추전국시대,2009,"드라마,액션,사극"
꼬마 니콜라,2009,"가족,코미디"
공주와 개구리,2009,"애니메이션,멜로/로맨스"
극장판파워레인저 엔진포스VS 와일드스피릿,2009,"SF,액션"
걸프렌즈,2009,"멜로/로맨스,코미디"
그루지 3,2009,"공포(호러),스릴러"
그는 당신에게 반하지 않았다,2009,"멜로/로맨스,코미디"
영춘권 무림 절대 고수,2009,"액션,코미디"
2012,2009,"SF,액션,어드벤처"
도리안 그레이,2009,"드라마,판타지,스릴러"
"기브 앰 헬, 말론",2009,"액션,스릴러,범죄"
동자 대소동,2009,"가족,코미디"
돌핀 : 꿈꾸는 다니엘의 용감한 모험,2009,"애니메이션,어드벤처"
클래쉬,2009,액션
코드,2009,"범죄,스릴러,액션"
악질경찰,2009,"스릴러,액션,범죄"
실종,2009,"범죄,스릴러,미스터리"
슈가박스,2009,"범죄,드라마"
데스워리어,2009,액션
노다메 칸타빌레 Vol.1,2009,"코미디,드라마,뮤지컬"
S러버,2009,"코미디,드라마,멜로/로맨스"
펠햄 123,2009,"액션,스릴러,범죄"
누가 밤비를 죽였나?,2009,"스릴러,드라마"
나비효과: 레버레이션,2009,"드라마,판타지,공포(호러),SF,스릴러"
천국의 우편배달부,2009,"멜로/로맨스,판타지"
트라이앵글,2009,"드라마,미스터리"
19-Nineteen,2009,드라마
결혼식 후에,2009,"멜로/로맨스,코미디,드라마"
구세주 2,2009,코미디
낙원-파라다이스,2009,"멜로/로맨스,드라마"
몬스터 vs 에이리언,2009,"애니메이션,어드벤처,SF,코미디"
링스 어드벤처,2009,"애니메이션,코미디,드라마"
리틀 비버,2009,"가족,어드벤처"
드레드,2009,공포(호러)
싸이보그 그녀,2009,"코미디,멜로/로맨스,SF"
레드나잇,2009,스릴러
"실종, 완벽한 사육",2009,멜로/로맨스
오픈 그래이브스,2009,스릴러
딥 인 더 밸리,2009,코미디
살인이론,2009,"공포(호러),스릴러"
아기 거북 토토의 바다 대모험,2009,다큐멘터리
우리가 꿈꾸는 기적: 인빅터스,2009,드라마
약수터 부르스,2009,"코미디,드라마"
사일런트 웨딩,2009,드라마
뉴 문,2009,"판타지,드라마,멜로/로맨스"
언 애듀케이션,2009,드라마
오감도,2009,"드라마,멜로/로맨스"
노르웨이의 숲,2009,"코미디,공포(호러)"
스트리트 파이터 - 춘리의 전설,2009,"액션,스릴러,SF"
기프트,2009,"액션,스릴러,미스터리"
9:나인,2009,"애니메이션,액션,스릴러,미스터리,어드벤처,판타지,SF"
이그잼,2009,스릴러
블레임 : 인류멸망 2011,2009,"SF,액션,스릴러"
퍼펙트 겟어웨이,2009,"스릴러,어드벤처,공포(호러)"
게이머,2009,"액션,SF,스릴러"
나인,2009,"멜로/로맨스,뮤지컬"
카무이 외전,2009,"액션,사극"
블러드,2009,"액션,공포(호러),스릴러"
동쪽의 에덴 극장판 ① 더 킹오브 에덴,2009,"애니메이션,미스터리"
레이징 피닉스,2009,"액션,멜로/로맨스"
솔로몬 케인,2009,"액션,어드벤처,판타지"
사랑은 언제나 진행중,2009,"코미디,멜로/로맨스"
시스터 스마일,2009,드라마
일라이,2009,"액션,어드벤처,드라마,스릴러,서부극(웨스턴)"
디센트: Part 2,2009,"공포(호러),스릴러,어드벤처"
헤센 컨스피러시,2009,"범죄,드라마,스릴러"
제로 포커스,2009,"드라마,미스터리"
밴디지,2009,드라마
요나요나 펭귄,2009,"애니메이션,어드벤처,가족"
잃어버린 마법의 섬 홋타라케,2009,애니메이션
풍운 2,2009,"액션,판타지"
비치 슬랩,2009,"액션,스릴러"
호드,2009,"액션,공포(호러)"
20세기 소년 ; 최종장 - 우리들의 깃발,2009,애니메이션
블루 엘리펀트,2009,애니메이션
콜렉터,2009,"범죄,공포(호러)"
마이 원 앤 온리,2009,"코미디,드라마"
러브 앤 댄싱,2009,"드라마,멜로/로맨스"
메신저 2,2009,"공포(호러),미스터리"
토마스와 친구들 - 극장판 2,2009,"애니메이션,액션,어드벤처,가족"
토너먼트,2009,액션
애프터 라이프,2009,"드라마,미스터리,스릴러"
라스트 에어벤더,2009,"액션,가족,판타지,어드벤처"
오션월드 3D,2009,"다큐멘터리,어드벤처"
달콤한 악마의 유혹,2009,"코미디,드라마,판타지"
필립모리스,2009,"코미디,드라마"
스플라이스,2009,"SF,공포(호러),스릴러"
여대생 기숙사,2009,"공포(호러),스릴러"
하프웨이,2009,"드라마,멜로/로맨스"
프로포즈 데이,2009,"멜로/로맨스,코미디"
데드라인,2009,"공포(호러),드라마,스릴러"
오페라-카르멘(메트로폴리탄),2009,"뮤지컬,공연"
데이브레이커스,2009,"드라마,스릴러,액션"
엘라의 모험 2: 백설공주 길들이기,2009,"가족,애니메이션,어드벤처"
러블리 본즈,2009,"범죄,드라마,판타지"
하늘에서 음식이 내린다면,2009,"애니메이션,가족"
원피스 극장판: 스트롱 월드,2009,"애니메이션,판타지"
발렌타인 데이,2009,"멜로/로맨스,코미디"
오페라-호프만의 이야기,2009,뮤지컬
아스트로 보이-아톰의 귀환,2009,"애니메이션,액션,SF"
쏘우-여섯번의 기회,2009,"공포(호러),미스터리,범죄"
더 로드,2009,"SF,드라마,스릴러"
앨빈과 슈퍼밴드2,2009,"가족,코미디,드라마"
셜록 홈즈,2009,"미스터리,범죄,어드벤처"
파르나서스 박사의 상상극장,2009,"판타지,어드벤처,미스터리"
모범시민,2009,"스릴러,드라마,범죄,액션"
마이 마이 신코 이야기,2009,"애니메이션,가족,드라마"
닌자 어쌔신,2009,"액션,드라마,범죄"
크리스마스 캐롤,2009,"애니메이션,드라마,가족,판타지"
킬 미,2009,"멜로/로맨스,코미디"
나루토 질풍전 극장판-불의 의지를 잇는 자,2009,"애니메이션,판타지"
컴 아웃 파이팅,2009,"액션,드라마"
디스트릭트 9,2009,"SF,액션,스릴러,드라마,코미디"
부산,2009,"액션,드라마"
써로게이트,2009,"SF,스릴러,액션"
파이널 데스티네이션 4,2009,"공포(호러),스릴러"
어글리 트루스,2009,"코미디,멜로/로맨스"
마이 시스터즈 키퍼,2009,드라마
하이 레인,2009,"스릴러,액션,어드벤처"
언더월드: 라이칸의 반란,2009,"판타지,액션,스릴러,SF"
왼편 마지막 집,2009,"공포(호러),스릴러,범죄"
프로포즈,2009,"멜로/로맨스,코미디,드라마"
오펀: 천사의 비밀,2009,"공포(호러),드라마,스릴러"
핑크 토끼,2009,드라마
4교시 추리영역,2009,"공포(호러),스릴러"
아이스 에이지 3: 공룡시대,2009,"애니메이션,어드벤처,가족,드라마"
메디엄,2009,"공포(호러),스릴러"
블러디 발렌타인,2009,"공포(호러),스릴러"
주온-원혼의 부활,2009,공포(호러)
죽기 전에 해야할 몇가지 것들,2009,드라마
트랜스포머: 패자의 역습,2009,"SF,액션,어드벤처"
드래그 미 투 헬,2009,"공포(호러),스릴러,판타지"
홈,2009,다큐멘터리
박물관이 살아있다 2,2009,"어드벤처,코미디,액션"
터미네이터 : 미래전쟁의 시작,2009,"SF,액션"
천사와 악마,2009,"미스터리,범죄,스릴러"
엑스맨 탄생: 울버린,2009,"SF,액션,판타지"
케로로 더 무비: 드래곤 워리어,2009,"애니메이션,SF,어드벤처"
13구역: 얼티메이텀,2009,액션
노잉,2009,"SF,액션,미스터리,드라마"
더블 스파이,2009,"범죄,멜로/로맨스,스릴러"
미쓰 루시힐,2009,"코미디,멜로/로맨스"
우리 집에 왜 왔니,2009,"드라마,멜로/로맨스,코미디"
안나와 알렉스 : 두자매 이야기,2009,"공포(호러),스릴러"
분노의 질주: 더 오리지널,2009,액션
신부들의 전쟁,2009,"코미디,멜로/로맨스"
쇼퍼홀릭,2009,"코미디,드라마,멜로/로맨스"
푸시,2009,"SF,스릴러,드라마"
13일의 금요일,2009,공포(호러)
드래곤볼 에볼루션,2009,"액션,어드벤처,SF,가족"
슬픔보다 더 슬픈 이야기,2009,"멜로/로맨스,드라마"
라스트프로포즈,2009,멜로/로맨스
왓치맨,2009,"액션,미스터리,판타지,SF"
언데드,2009,"공포(호러),스릴러"
인터내셔널,2009,"액션,스릴러,드라마"
플립,2010,"드라마,멜로/로맨스"
해리 포터와 죽음의 성물1,2010,"미스터리,판타지"
워리어스 웨이,2010,"액션,판타지"
검우강호,2010,액션
밀프,2010,"코미디,드라마"
치어리더 캠프,2010,코미디
터커 & 데일 Vs 이블,2010,"코미디,공포(호러)"
우주전함 야마토,2010,"SF,액션"
블랙 스완,2010,"드라마,스릴러"
악마를 보았다,2010,스릴러
인셉션,2010,"드라마,미스터리"
아따맘마 - 극장판,2010,"애니메이션,가족,코미디"
산사나무 아래,2010,드라마
평범한 날들,2010,드라마
소셜 네트워크,2010,드라마
청계천 메들리,2010,다큐멘터리
마법천자문: 대마왕의 부활을 막아라,2010,애니메이션
꿈은 이루어진다,2010,"코미디,드라마"
엽문2,2010,"액션,드라마"
히어로,2010,"드라마,공포(호러)"
김종욱 찾기,2010,"멜로/로맨스,드라마"
나는 아빠다,2010,"액션,드라마"
아저씨,2010,"액션,드라마"
귀 鬼,2010,"공포(호러),스릴러"
타이탄,2010,"액션,어드벤처,판타지"
드래곤 길들이기,2010,"애니메이션,코미디,어드벤처,가족"
부당거래,2010,"범죄,드라마"
무적자,2010,"드라마,액션"
그루피: 사생팬,2010,"범죄,스릴러"
도둑,2010,스릴러
도그 파운드,2010,"범죄,스릴러,드라마"
언스토퍼블,2010,"액션,스릴러,드라마"
에이리언 지구대침공,2010,"SF,액션"
토이 스토리 3,2010,"가족,코미디,판타지"
라푼젤,2010,"애니메이션,코미디,멜로/로맨스,가족"
장화신은 고양이,2010,"애니메이션,어드벤처,코미디,판타지"
데드 웨스트,2010,"액션,공포(호러),서부극(웨스턴)"
립 이어 : 자학의 성,2010,"드라마,멜로/로맨스"
다크니스: 타락천사,2010,스릴러
쿵푸마스터,2010,액션
하녀,2010,"스릴러,멜로/로맨스"
라인오버,2010,"드라마,액션"
지구대표 롤링스타즈,2010,애니메이션
꿀벌 하치의 대모험,2010,애니메이션
헬로우 고스트,2010,"코미디,드라마"
고死 두 번째 이야기: 교생실습,2010,"공포(호러),스릴러"
해결사,2010,"액션,스릴러"
무법자,2010,"드라마,범죄,스릴러"
분홍돌고래,2010,드라마
황해,2010,"스릴러,액션,범죄"
리틀 고비,2010,"애니메이션,어드벤처,판타지"
대지진,2010,드라마
방자전,2010,"사극,코미디,멜로/로맨스"
이끼,2010,"드라마,스릴러"
울트라맨 제로: 베리알 은하제국,2010,"SF,어드벤처,액션"
레이싱: 더 라이벌,2010,"액션,드라마"
레이싱: 더 라이벌,2010,"액션,드라마"
북극의 후예 이누크,2010,"어드벤처,드라마"
유리코의 아로마,2010,멜로/로맨스
평양성,2010,"전쟁,코미디,드라마"
초능력자,2010,"SF,드라마"
심야의 F.M.,2010,"스릴러,범죄"
포화속으로,2010,"드라마,전쟁"
아이들...,2010,"범죄,스릴러"
맨발의 꿈,2010,드라마
그랑프리,2010,드라마
이케부쿠로 양키전쟁,2010,"액션,드라마,멜로/로맨스"
필사의검 토리사시,2010,액션
시라노; 연애조작단,2010,"멜로/로맨스,코미디"
베스트셀러,2010,"미스터리,스릴러,드라마"
여의사의 유출본 - 얼굴,2010,멜로/로맨스
이층의 악당,2010,"코미디,미스터리"
대한민국 1%,2010,"드라마,액션"
반가운 살인자,2010,"코미디,스릴러"
육혈포 강도단,2010,"코미디,드라마,액션"
돌이킬 수 없는,2010,"미스터리,드라마"
혈투,2010,"액션,사극"
쩨쩨한 로맨스,2010,"코미디,멜로/로맨스"
레터스 투 줄리엣,2010,"멜로/로맨스,코미디"
파괴된 사나이,2010,"드라마,스릴러"
셜록홈즈-비밀의 열쇠,2010,"미스터리,SF,액션"
아더와 미니모이 3: 두 세계의 전쟁,2010,애니메이션
사요나라 이츠카,2010,"드라마,멜로/로맨스"
마루 밑 아리에티,2010,애니메이션
조선명탐정 : 각시투구꽃의 비밀,2010,"코미디,액션"
퀴즈왕,2010,코미디
킹스 스피치,2010,드라마
에로틱 컴필레이션,2010,멜로/로맨스
일급 살인,2010,범죄
공자 춘추전국시대 감독판,2010,"액션,드라마"
원초적 본능 2015,2010,"멜로/로맨스,드라마,판타지"
어디로 갈까요?,2010,멜로/로맨스
손님1 첫번째 이야기,2010,"공포(호러),스릴러"
천녀유혼,2010,"SF,판타지,멜로/로맨스"
알래스카 대지진,2010,"액션,SF,스릴러"
내 남자의 순이,2010,코미디
음양사 2015,2010,멜로/로맨스
페스티발,2010,코미디
떡국열차의 비밀애,2010,멜로/로맨스
아버지는 개다,2010,드라마
모피를 입은 비너스,2010,"드라마,스릴러"
적인걸: 측천무후의 비밀,2010,"액션,범죄,미스터리,스릴러"
고스트: 보이지 않는 사랑,2010,"멜로/로맨스,판타지"
라스트 갓파더,2010,코미디
킹 오브 파이터,2010,액션
제거자,2010,스릴러
비르: 위대한 전사,2010,"전쟁,액션,멜로/로맨스"
8광구: 몬스터의 부활,2010,"SF,공포(호러)"
위 아더 나이트,2010,"판타지,공포(호러),멜로/로맨스"
꽃과 뱀 3,2010,멜로/로맨스
몬스터 울프,2010,"판타지,공포(호러)"
다이노슈퍼게이터,2010,SF
시베리아 횡단열차: 대탈주,2010,"드라마,어드벤처"
엘리아스: 바다의 보물을 찾아라!,2010,"애니메이션,어드벤처"
러브 인 코리아,2010,다큐멘터리
엣지 오브 타임,2010,"스릴러,범죄"
공공의 적-살인마,2010,"액션,스릴러"
글러브,2010,드라마
창피해,2010,"멜로/로맨스,드라마"
심도,2010,드라마
스튜던트 서비스,2010,드라마
마더스 데이,2010,"공포(호러),스릴러,드라마"
몬스터즈,2010,"SF,드라마,스릴러"
대지진 2014,2010,SF
하펫 꿈나라 모험,2010,애니메이션
둠스데이 2014,2010,SF
방콕 킥복서,2010,"스릴러,드라마,미스터리"
미라클맨,2010,"코미디,드라마"
귀신을 보는 눈: 동안,2010,공포(호러)
오빠가 돌아왔다,2010,"코미디,드라마"
배틀로얄 극악소년원,2010,"액션,드라마"
그레이브 인카운터,2010,"공포(호러),스릴러,미스터리"
차가운 열대어,2010,"드라마,스릴러"
빌리와 용감한 녀석들 3D,2010,"애니메이션,가족"
스테이크 랜드,2010,"공포(호러),액션"
월 스트리트: 머니 네버 슬립스,2010,"드라마,범죄,스릴러"
나니아 연대기: 새벽 출정호의 항해,2010,"판타지,가족,어드벤처"
엑소시즈머스,2010,공포(호러)
잃어버린 황금을 찾아서,2010,"스릴러,액션"
욕망,2010,"드라마,멜로/로맨스"
네 무덤에 침을 뱉어라,2010,"공포(호러),스릴러,범죄"
키드넵 : 한밤의 침입자,2010,"공포(호러),스릴러,범죄"
디디 할리우드,2010,드라마
금의위 : 14 검의 비밀,2010,"액션,드라마"
어썰트,2010,"액션,스릴러"
세인트,2010,"액션,스릴러"
비행소년,2010,드라마
데드 앤 곤,2010,"미스터리,공포(호러)"
브레이크 블레이드 : 변신의 시작,2010,"애니메이션,판타지,액션"
런던 블러바드,2010,"범죄,드라마"
타이타닉 2,2010,"액션,어드벤처"
화룡대결,2010,"액션,스릴러,미스터리"
더 브레이브,2010,"드라마,서부극(웨스턴)"
컨트롤러,2010,"스릴러,드라마,멜로/로맨스"
퍼펙트 호스트,2010,스릴러
체브라시카,2010,애니메이션
내부고발자,2010,"범죄,스릴러"
굿모닝 에브리원,2010,"드라마,코미디,멜로/로맨스"
호두까기인형 3D,2010,"가족,판타지,어드벤처"
장강7호 : 내친구 마법요정,2010,"애니메이션,가족,코미디"
브레이크 블레이드6: 결전의 시간,2010,애니메이션
신밧드의 7대 모험,2010,"액션,판타지,어드벤처"
브레이크 블레이드5: 최후의 명령,2010,애니메이션
퍼시픽 모비딕,2010,"스릴러,액션"
가디언의 전설,2010,"애니메이션,어드벤처,판타지"
극장판 도라에몽: 진구의 인어대해전,2010,"애니메이션,가족,판타지"
네가 원한다면,2010,드라마
에어라인 플라이트,2010,"스릴러,액션"
브레이크 블레이드4: 세기의 전쟁,2010,애니메이션
코리올라누스: 세기의 라이벌,2010,"전쟁,드라마,스릴러"
게임 오브 데스,2010,"액션,스릴러"
워 오브 투모로우,2010,"액션,드라마,멜로/로맨스"
브레이크 블레이드3: 운명의 장난,2010,애니메이션
서유기 리턴즈,2010,"코미디,액션,어드벤처"
바다,2010,드라마
버크 앤 헤어,2010,"코미디,스릴러,범죄"
다크월드 3D,2010,"판타지,미스터리,스릴러"
배드 블러드,2010,액션
아이언맨 2,2010,"SF,액션,어드벤처"
"글렌, 플라잉 로봇",2010,SF
메인 스트리트,2010,드라마
크로스 라인,2010,"액션,드라마"
슈퍼 배드,2010,"애니메이션,가족"
대재앙,2010,어드벤처
더 해머,2010,드라마
모노거미,2010,"멜로/로맨스,드라마"
메스카다,2010,"범죄,드라마,스릴러"
잭애스 3D,2010,"코미디,액션"
토마스와 친구들 - 극장판 3,2010,애니메이션
에브리바디 올라잇,2010,"코미디,드라마"
다크니스,2010,"공포(호러),스릴러,미스터리"
슈렉 포에버,2010,"애니메이션,코미디,가족"
요술,2010,"드라마,멜로/로맨스"
헨리스 크라임,2010,"범죄,드라마,멜로/로맨스,스릴러"
세븐데이즈,2010,스릴러
익스트림 No.13 감독판,2010,"스릴러,액션"
샌드맨과 꿈나라 모험,2010,애니메이션
로마에서 생긴 일,2010,"멜로/로맨스,코미디"
걸스,2010,드라마
토처드,2010,"공포(호러),스릴러"
달빛 길어올리기,2010,드라마
테러 트랩,2010,"스릴러,공포(호러)"
메가 피라냐,2010,"SF,액션,공포(호러)"
컨빅션,2010,드라마
극장판 포켓 몬스터 DP 「환영의 패왕 조로아크」,2010,애니메이션
나의 불행에는 이유가 있다,2010,드라마
인비져블 2: 귀신소리찾기,2010,공포(호러)
허블 3D,2010,다큐멘터리
이클립스,2010,"판타지,멜로/로맨스,스릴러"
포 러버즈,2010,멜로/로맨스
웨딩드레스,2010,드라마
주문진,2010,"드라마,멜로/로맨스,판타지"
친정엄마,2010,"드라마,가족"
마마 앤드 파파,2010,드라마
폐가,2010,공포(호러)
심장이 뛰네,2010,드라마
